         446564867 function calls (446165958 primitive calls) in 796.483 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2856798    2.819    0.000   27.926    0.000 <__array_function__ internals>:2(amax)
 10664660    9.897    0.000  123.927    0.000 <__array_function__ internals>:2(sum)
        4    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
  9531662   13.273    0.000   16.608    0.000 _collections_abc.py:664(__contains__)
   158640    0.116    0.000    0.146    0.000 _compression.py:12(_check_not_closed)
        2    0.000    0.000    0.000    0.000 _compression.py:150(tell)
        2    0.000    0.000    0.000    0.000 _compression.py:36(readable)
        2    0.000    0.000    0.000    0.000 _compression.py:39(__init__)
        2    0.000    0.000    0.000    0.000 _compression.py:59(close)
   105639    0.889    0.000    8.105    0.000 _compression.py:66(readinto)
      536    6.459    0.012  114.077    0.213 bridges.py:19(bridges)
  9531128    1.878    0.000    2.273    0.000 chains.py:123(_build_chain)
  4662623    6.464    0.000  105.223    0.000 chains.py:16(chain_decomposition)
  5061524    1.770    0.000    5.799    0.000 chains.py:163(<genexpr>)
        2   16.109    8.054   86.707   43.353 chains.py:67(_dfs_cycle_forest)
        2    0.000    0.000    0.000    0.000 codecs.py:185(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
   105639    0.216    0.000    0.497    0.000 codecs.py:318(decode)
   105639    0.070    0.000    0.070    0.000 codecs.py:330(getstate)
 20260033    3.284    0.000    3.284    0.000 coreviews.py:44(__init__)
   398903    0.162    0.000    0.283    0.000 coreviews.py:50(__iter__)
  9531662    3.336    0.000    3.336    0.000 coreviews.py:53(__getitem__)
  9930565    6.319    0.000    7.742    0.000 coreviews.py:80(__getitem__)
        2    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-107>:1(bridges)
        2    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-108>:1(bridges)
        2    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-119>:1(chain_decomposition)
        2    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-120>:1(chain_decomposition)
      8/4    0.000    0.000    0.000    0.000 decorators.py:64(_not_implemented_for)
 10329470    8.525    0.000   13.394    0.000 depth_first_search.py:350(dfs_labeled_edges)
        2    0.000    0.000    0.000    0.000 digraph.py:270(__init__)
  9531662    6.305    0.000    7.995    0.000 digraph.py:325(adj)
   398903    0.321    0.000    0.413    0.000 digraph.py:344(succ)
   398903    1.422    0.000    1.539    0.000 digraph.py:381(add_node)
  4869041   11.255    0.000   13.790    0.000 digraph.py:577(add_edge)
   398903    0.315    0.000    1.315    0.000 digraph.py:841(edges)
        4    0.000    0.000    0.000    0.000 enum.py:267(__call__)
        4    0.000    0.000    0.000    0.000 enum.py:517(__new__)
        2    0.000    0.000    0.000    0.000 enum.py:803(__and__)
 10664660    2.235    0.000    2.235    0.000 fromnumeric.py:2087(_sum_dispatcher)
 10664660   17.454    0.000  102.880    0.000 fromnumeric.py:2092(sum)
  2856798    0.574    0.000    0.574    0.000 fromnumeric.py:2546(_amax_dispatcher)
  2856798    3.677    0.000   22.427    0.000 fromnumeric.py:2551(amax)
 13521458   25.398    0.000   99.815    0.000 fromnumeric.py:73(_wrapreduction)
 13521458   10.060    0.000   10.060    0.000 fromnumeric.py:74(<dictcomp>)
      538    0.001    0.000    0.002    0.000 graph.py:1242(edges)
       16    0.000    0.000    0.000    0.000 graph.py:1424(is_multigraph)
       16    0.000    0.000    0.000    0.000 graph.py:1428(is_directed)
   398903    0.339    0.000    0.620    0.000 graph.py:1827(nbunch_iter)
        2    0.000    0.000    0.000    0.000 graph.py:300(__init__)
   398903    0.368    0.000    0.446    0.000 graph.py:349(adj)
        2    0.000    0.000    0.000    0.000 graph.py:398(__iter__)
   398903    0.202    0.000    0.202    0.000 graph.py:416(__contains__)
        2    0.000    0.000    0.000    0.000 graph.py:430(__len__)
  9930565   10.454    0.000   26.638    0.000 graph.py:451(__getitem__)
  4523475    4.761    0.000    6.157    0.000 graph.py:477(add_node)
   205886    0.195    0.000    0.258    0.000 graph.py:666(nodes)
  4869041   16.479    0.000   20.146    0.000 graph.py:830(add_edge)
       66    0.000    0.000    0.000    0.000 graph.py:987(remove_edge)
        4    0.000    0.000    0.001    0.000 gzip.py:123(__init__)
        4    0.000    0.000    0.001    0.000 gzip.py:20(open)
        2    0.000    0.000    0.000    0.000 gzip.py:213(_init_write)
        2    0.000    0.000    0.000    0.000 gzip.py:221(_write_gzip_header)
    52997    0.627    0.000   60.675    0.001 gzip.py:247(write)
   105639    0.348    0.000    9.263    0.000 gzip.py:278(read1)
 22271860    5.721    0.000    5.721    0.000 gzip.py:298(closed)
        4    0.000    0.000    0.003    0.001 gzip.py:302(close)
        4    0.000    0.000    0.003    0.001 gzip.py:321(flush)
        4    0.000    0.000    0.000    0.000 gzip.py:328(fileno)
        4    0.000    0.000    0.000    0.000 gzip.py:343(readable)
        4    0.000    0.000    0.000    0.000 gzip.py:346(writable)
        4    0.000    0.000    0.000    0.000 gzip.py:349(seekable)
        2    0.000    0.000    0.000    0.000 gzip.py:352(seek)
        2    0.000    0.000    0.000    0.000 gzip.py:378(__init__)
    13076    0.038    0.000    0.052    0.000 gzip.py:385(_init_read)
    52294    0.055    0.000    0.130    0.000 gzip.py:389(_read_exact)
    13076    0.056    0.000    0.153    0.000 gzip.py:405(_read_gzip_header)
   105639    0.968    0.000    7.009    0.000 gzip.py:438(read)
   105637    0.221    0.000    0.460    0.000 gzip.py:489(_add_read_data)
    13074    0.079    0.000    0.204    0.000 gzip.py:493(_read_eof)
        6    0.000    0.000    0.000    0.000 gzip.py:64(write32u)
        2    0.000    0.000    0.000    0.000 gzip.py:74(__init__)
   184096    0.744    0.000    1.099    0.000 gzip.py:80(read)
   118710    0.231    0.000    0.261    0.000 gzip.py:93(prepend)
        2    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
        2    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
 10664660    8.335    0.000   43.619    0.000 re.py:204(split)
 10664660    9.733    0.000    9.734    0.000 re.py:286(_compile)
  4869043    2.395    0.000    2.395    0.000 reportviews.py:1025(__iter__)
