         309256021 function calls (308857112 primitive calls) in 297.056 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
  9531662    6.271    0.000    9.057    0.000 _collections_abc.py:664(__contains__)
   158640    0.115    0.000    0.148    0.000 _compression.py:12(_check_not_closed)
        2    0.000    0.000    0.000    0.000 _compression.py:150(tell)
        2    0.000    0.000    0.000    0.000 _compression.py:36(readable)
        2    0.000    0.000    0.000    0.000 _compression.py:39(__init__)
        2    0.000    0.000    0.000    0.000 _compression.py:59(close)
   105639    0.882    0.000    8.505    0.000 _compression.py:66(readinto)
      536    6.710    0.013   97.947    0.183 bridges.py:19(bridges)
  9531128    2.141    0.000    2.586    0.000 chains.py:123(_build_chain)
  4662623    7.289    0.000   89.203    0.000 chains.py:16(chain_decomposition)
  5061524    1.936    0.000    6.458    0.000 chains.py:163(<genexpr>)
        2   13.812    6.906   68.602   34.301 chains.py:67(_dfs_cycle_forest)
        2    0.000    0.000    0.000    0.000 codecs.py:185(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
   105639    0.197    0.000    0.524    0.000 codecs.py:318(decode)
   105639    0.184    0.000    0.184    0.000 codecs.py:330(getstate)
 20260033    2.930    0.000    2.930    0.000 coreviews.py:44(__init__)
   398903    0.136    0.000    0.237    0.000 coreviews.py:50(__iter__)
  9531662    2.787    0.000    2.787    0.000 coreviews.py:53(__getitem__)
  9930565    5.386    0.000    6.694    0.000 coreviews.py:80(__getitem__)
        2    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-107>:1(bridges)
        2    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-108>:1(bridges)
        2    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-119>:1(chain_decomposition)
        2    0.000    0.000    0.000    0.000 decorator.py:decorator-gen-120>:1(chain_decomposition)
      8/4    0.000    0.000    0.000    0.000 decorators.py:64(_not_implemented_for)
 10329470    6.829    0.000   10.908    0.000 depth_first_search.py:350(dfs_labeled_edges)
        2    0.000    0.000    0.000    0.000 digraph.py:270(__init__)
  9531662    5.435    0.000    6.874    0.000 digraph.py:325(adj)
   398903    0.336    0.000    0.445    0.000 digraph.py:344(succ)
   398903    1.300    0.000    1.403    0.000 digraph.py:381(add_node)
  4869041    9.398    0.000   11.493    0.000 digraph.py:577(add_edge)
   398903    0.347    0.000    1.441    0.000 digraph.py:841(edges)
        4    0.000    0.000    0.000    0.000 enum.py:267(__call__)
        4    0.000    0.000    0.000    0.000 enum.py:517(__new__)
        2    0.000    0.000    0.000    0.000 enum.py:803(__and__)
      538    0.000    0.000    0.001    0.000 graph.py:1242(edges)
       16    0.000    0.000    0.000    0.000 graph.py:1424(is_multigraph)
       16    0.000    0.000    0.000    0.000 graph.py:1428(is_directed)
   398903    0.361    0.000    0.665    0.000 graph.py:1827(nbunch_iter)
        2    0.000    0.000    0.000    0.000 graph.py:300(__init__)
   398903    0.305    0.000    0.379    0.000 graph.py:349(adj)
        2    0.000    0.000    0.000    0.000 graph.py:398(__iter__)
   398903    0.216    0.000    0.216    0.000 graph.py:416(__contains__)
        2    0.000    0.000    0.000    0.000 graph.py:430(__len__)
  9930565    9.149    0.000   23.096    0.000 graph.py:451(__getitem__)
